DEBUG: D/KRW | buy_time: 2026-02-04 14:40:20 | calc_age: 0
DEBUG: D/KRW | age: 0 | profit: -0.00%
DEBUG: MAY/KRW | buy_time: 2026-02-03 19:38:54 | calc_age: 38
DEBUG: MAY/KRW | age: 38 | profit: 2.06%
DEBUG: META/KRW | buy_time: 2026-02-04 13:40:32 | calc_age: 2
DEBUG: META/KRW | age: 2 | profit: 0.07%
DEBUG: USDC/KRW | buy_time: 2026-02-04 13:40:24 | calc_age: 2
DEBUG: USDC/KRW | age: 2 | profit: 0.14%
DEBUG: USDE/KRW | buy_time: 2026-02-04 13:41:31 | calc_age: 2
DEBUG: USDE/KRW | age: 2 | profit: -0.27%
DEBUG: USDT/KRW | buy_time: 2026-02-04 13:40:56 | calc_age: 2
DEBUG: USDT/KRW | age: 2 | profit: 0.07%
DEBUG: D/KRW | buy_time: 2026-02-04 14:40:20 | calc_age: 0
DEBUG: D/KRW | age: 0 | profit: -0.00%
DEBUG: MAY/KRW | buy_time: 2026-02-03 19:38:54 | calc_age: 38
DEBUG: MAY/KRW | age: 38 | profit: 2.06%
DEBUG: META/KRW | buy_time: 2026-02-04 13:40:32 | calc_age: 2
DEBUG: META/KRW | age: 2 | profit: 0.07%
DEBUG: USDC/KRW | buy_time: 2026-02-04 13:40:24 | calc_age: 2
DEBUG: USDC/KRW | age: 2 | profit: 0.14%
DEBUG: USDE/KRW | buy_time: 2026-02-04 13:41:31 | calc_age: 2
DEBUG: USDE/KRW | age: 2 | profit: -0.27%
DEBUG: USDT/KRW | buy_time: 2026-02-04 13:40:56 | calc_age: 2
DEBUG: USDT/KRW | age: 2 | profit: 0.07%
DEBUG: D/KRW | buy_time: 2026-02-04 14:40:20 | calc_age: 0
DEBUG: D/KRW | age: 0 | profit: -0.00%
DEBUG: MAY/KRW | buy_time: 2026-02-03 19:38:54 | calc_age: 38
DEBUG: MAY/KRW | age: 38 | profit: 2.06%
DEBUG: META/KRW | buy_time: 2026-02-04 13:40:32 | calc_age: 2
DEBUG: META/KRW | age: 2 | profit: 0.07%
DEBUG: USDC/KRW | buy_time: 2026-02-04 13:40:24 | calc_age: 2
DEBUG: USDC/KRW | age: 2 | profit: 0.14%
DEBUG: USDE/KRW | buy_time: 2026-02-04 13:41:31 | calc_age: 2
DEBUG: USDE/KRW | age: 2 | profit: -0.27%
DEBUG: USDT/KRW | buy_time: 2026-02-04 13:40:56 | calc_age: 2
DEBUG: USDT/KRW | age: 2 | profit: 0.07%
DEBUG: D/KRW | buy_time: 2026-02-04 14:40:20 | calc_age: 0
DEBUG: D/KRW | age: 0 | profit: -0.00%
DEBUG: MAY/KRW | buy_time: 2026-02-03 19:38:54 | calc_age: 38
DEBUG: MAY/KRW | age: 38 | profit: 2.06%
DEBUG: META/KRW | buy_time: 2026-02-04 13:40:32 | calc_age: 2
DEBUG: META/KRW | age: 2 | profit: 0.07%
DEBUG: USDC/KRW | buy_time: 2026-02-04 13:40:24 | calc_age: 2
DEBUG: USDC/KRW | age: 2 | profit: 0.14%
DEBUG: USDE/KRW | buy_time: 2026-02-04 13:41:31 | calc_age: 2
DEBUG: USDE/KRW | age: 2 | profit: -0.27%
DEBUG: USDT/KRW | buy_time: 2026-02-04 13:40:56 | calc_age: 2
DEBUG: USDT/KRW | age: 2 | profit: 0.14%
DEBUG: D/KRW | age: 0 | profit: 0.00%
DEBUG: MAY/KRW | age: 0 | profit: 0.00%
DEBUG: META/KRW | age: 0 | profit: 0.00%
DEBUG: USDC/KRW | age: 0 | profit: 0.00%
DEBUG: USDE/KRW | age: 0 | profit: 0.00%
DEBUG: USDT/KRW | age: 0 | profit: 0.00%
DEBUG: D/KRW | buy_time: 2026-02-04 14:40:20 | calc_age: 0
DEBUG: D/KRW | age: 0 | profit: -0.00%
DEBUG: MAY/KRW | buy_time: 2026-02-03 19:38:54 | calc_age: 38
DEBUG: MAY/KRW | age: 38 | profit: 2.06%
DEBUG: META/KRW | buy_time: 2026-02-04 13:40:32 | calc_age: 2
DEBUG: META/KRW | age: 2 | profit: 0.07%
DEBUG: USDC/KRW | buy_time: 2026-02-04 13:40:24 | calc_age: 2
DEBUG: USDC/KRW | age: 2 | profit: 0.14%
DEBUG: USDE/KRW | buy_time: 2026-02-04 13:41:31 | calc_age: 2
DEBUG: USDE/KRW | age: 2 | profit: -0.27%
DEBUG: USDT/KRW | buy_time: 2026-02-04 13:40:56 | calc_age: 2
DEBUG: USDT/KRW | age: 2 | profit: 0.14%
DEBUG: D/KRW | buy_time: 2026-02-04 14:40:20 | calc_age: 0
DEBUG: D/KRW | age: 0 | profit: -0.00%
DEBUG: MAY/KRW | buy_time: 2026-02-03 19:38:54 | calc_age: 38
DEBUG: MAY/KRW | age: 38 | profit: 2.06%
DEBUG: META/KRW | buy_time: 2026-02-04 13:40:32 | calc_age: 2
DEBUG: META/KRW | age: 2 | profit: 0.07%
DEBUG: USDC/KRW | buy_time: 2026-02-04 13:40:24 | calc_age: 2
DEBUG: USDC/KRW | age: 2 | profit: 0.14%
DEBUG: USDE/KRW | buy_time: 2026-02-04 13:41:31 | calc_age: 2
