시간,심볼,손절가,목표손절가,슬리피지(%),슬리피지_2pct이상,직전1분_시가,직전1분_종가,직전1분_하락속도(%)
2026-01-31 01:21:30,STG/KRW,250,251,-0.35,N,249,249,0.0000
2026-01-31 01:21:37,ZRO/KRW,"2,862","2,864",-0.05,N,"2,874","2,863",-0.3827
2026-01-31 03:39:22,2Z/KRW,175,176,-0.79,N,176,176,0.0000
2026-01-31 23:48:49,0G/KRW,"1,067","1,195",-10.68,Y,"1,064","1,063",-0.0940
2026-01-31 23:52:04,MORPHO/KRW,"1,712","1,726",-0.80,N,"1,710","1,712",0.1170
2026-01-31 23:55:13,GRND/KRW,50,51,-1.42,N,50,50,0.0201
2026-01-31 23:55:16,MON/KRW,27,30,-9.25,Y,27,27,0.1840
2026-01-31 23:55:19,OPEN/KRW,219,224,-2.41,Y,219,219,0.0000
2026-01-31 23:55:21,TRX/KRW,429,421,1.80,N,429,429,0.0000
2026-02-01 03:15:14,HOME/KRW,43,43,0.74,N,43,43,0.0000
